0.77,0.57,0.48,1
0.63,0.51,0.48,1
0.79,0.41,0.48,1
0.41,0.51,0.48,1
0.66,0.74,0.48,1
0.29,0.37,0.48,0
0.84,0.49,0.48,1
0.59,0.29,0.48,1
0.68,0.63,0.48,1
0.64,0.58,0.48,1
0.86,0.39,0.48,1
0.49,0.42,0.48,1
0.34,0.33,0.48,0
0.36,0.47,0.48,1
0.57,0.54,0.48,0
0.29,0.47,0.48,0
0.74,0.82,0.48,1
0.38,0.30,0.48,0
0.68,0.49,1.00,1
0.24,0.41,0.48,0
0.73,0.26,0.48,1
0.24,0.35,0.48,0
0.30,0.16,0.48,0
0.04,0.31,0.48,0
0.46,0.59,0.48,1
0.67,0.81,0.48,1
0.44,0.42,0.48,0
0.67,0.81,0.48,1
0.78,0.68,0.48,1
0.71,0.86,0.48,1
0.73,0.84,0.48,1
0.74,0.49,0.48,1
0.30,0.51,0.48,1
0.63,0.80,0.48,1
0.68,0.67,0.48,1
0.61,0.52,0.48,1
0.44,0.51,0.48,0
0.40,0.41,0.48,0
0.59,0.56,0.48,1
0.66,0.53,0.48,1
0.74,0.70,0.48,1
0.40,0.50,0.48,1
0.63,1.00,0.48,1
0.63,0.50,0.48,1
0.69,0.65,0.48,1
0.47,0.47,0.48,0
0.70,0.61,0.48,1
0.69,0.59,0.48,1
0.43,0.37,0.48,0
0.81,0.52,0.48,1
0.56,0.40,0.48,0
0.40,0.45,0.48,0
0.84,0.44,0.48,1
0.33,0.37,0.48,1
0.50,0.51,0.48,0
0.61,0.36,0.48,0
0.64,0.66,0.48,1
0.53,0.38,0.48,0
0.52,0.44,0.48,0
0.30,0.44,0.48,0
0.35,0.37,0.48,0
0.34,0.35,0.48,0
0.47,0.28,0.48,0
0.27,0.35,0.48,1
0.63,0.42,0.48,1
0.61,0.47,0.48,1
0.38,0.40,0.48,0
