Mauritania,4,4,1031,2,8,0
Denmark,3,1,43,5,6,1
Turks-Cocos-Islands,1,4,0,0,1,1
Malawi,4,2,118,6,10,0
French-Guiana,2,4,91,0,3,1
Dominica,1,4,0,0,1,1
Philippines,6,1,300,48,10,1
Tanzania,4,2,945,18,10,0
Guam,6,1,0,0,1,1
China,5,1,9561,1008,7,0
Cape-Verde-Islands,4,4,4,0,6,1
Sri-Lanka,5,1,66,15,10,0
Ecuador,2,3,284,8,2,1
Seychelles,4,2,0,0,1,1
Argentine,2,3,2777,28,2,1
Germany-FRG,3,1,249,61,4,1
Zaire,4,2,905,28,10,0
Japan,5,1,372,118,9,0
Falklands-Malvinas,2,3,12,0,1,1
Andorra,3,1,0,0,6,1
Greece,3,1,132,10,6,1
Faeroes,3,4,1,0,6,1
Libya,4,1,1760,3,8,0
India,5,1,3268,684,6,0
Morocco,4,4,447,20,8,0
Lebanon,5,1,10,3,8,0
Tonga,6,2,1,0,10,1
Cameroon,4,1,474,8,3,1
Venezuela,2,4,912,15,2,1
Angola,4,2,1247,7,10,0
Grenada,1,4,0,0,1,1
Panama,2,4,76,2,2,1
Norway,3,1,324,4,6,1
Papua-New-Guinea,6,2,463,3,1,0
Maldive-Islands,5,1,0,0,10,0
Gabon,4,2,268,1,10,0
Vatican-City,3,1,0,0,6,1
Luxembourg,3,1,3,0,4,1
Uruguay,2,3,178,3,2,1
Egypt,4,1,1001,47,8,0
Bahamas,1,4,19,0,1,1
St-Vincent,1,4,0,0,1,1
Jamaica,1,4,11,2,1,1
Ireland,3,4,70,3,1,1
Vanuatu,6,2,15,0,6,1
Cook-Islands,6,3,0,0,1,1
Bolivia,2,3,1099,6,2,1
Trinidad-Tobago,2,4,5,1,1,1
Vietnam,5,1,333,60,10,0
Malaysia,5,1,333,13,10,0
Jordan,5,1,98,2,8,0
St-Helena,4,3,0,0,1,1
Soloman-Islands,6,2,30,0,1,1
Barbados,1,4,0,0,1,1
Tuvalu,6,2,0,0,1,1
Mali,4,4,1240,7,3,0
Afghanistan,5,1,648,16,10,0
South-Yemen,5,1,288,2,8,0
Mauritius,4,2,2,1,1,0
Liechtenstein,3,1,0,0,4,1
Nauru,6,2,0,0,10,1
Somalia,4,1,637,5,10,0
Comorro-Islands,4,2,2,0,3,0
Swaziland,4,2,17,1,10,1
Zimbabwe,4,2,391,8,10,0
Indonesia,6,2,1904,157,10,0
Netherlands,3,1,41,14,6,1
Czechoslovakia,3,1,128,15,5,0
Nigeria,4,1,925,56,10,0
New-Zealand,6,2,268,2,1,1
Haiti,1,4,28,6,3,1
Turkey,5,1,781,45,9,0
Iraq,5,1,435,14,8,0
Iceland,3,4,103,0,6,1
North-Korea,5,1,121,18,10,0
Germany-DDR,3,1,108,17,4,0
Argentina,2,3,2777,28,2,1
Sierra-Leone,4,4,72,3,1,0
Mongolia,5,1,1566,2,10,0
Ethiopia,4,1,1222,31,10,1
St-Lucia,1,4,0,0,1,1
Cyprus,3,1,9,1,6,1
Uganda,4,1,236,13,10,0
Cayman-Islands,1,4,0,0,1,1
Canada,1,4,9976,24,1,1
Sudan,4,1,2506,20,8,0
Liberia,4,4,111,1,10,0
St-Kitts-Nevis,1,4,0,0,1,1
Nepal,5,1,140,16,10,0
Puerto-Rico,1,4,9,3,2,1
Guatemala,1,4,109,8,2,1
Greenland,1,4,2176,0,6,1
South-Africa,4,2,1221,29,6,1
Thailand,5,1,514,49,10,0
Colombia,2,4,1139,28,2,1
USSR,5,1,22402,274,5,0
Singapore,5,1,1,3,7,0
Guinea-Bissau,4,4,36,1,6,0
Zambia,4,2,753,6,10,0
Niue,6,3,0,0,1,1
Togo,4,1,57,2,3,0
USA,1,4,9363,231,1,1
Peru,2,3,1285,14,2,1
Burkina,4,4,274,7,3,0
Switzerland,3,1,41,6,4,1
Austria,3,1,84,8,4,1
Sao-Tome,4,1,0,0,6,1
Bahrain,5,1,1,0,8,0
Ghana,4,4,239,14,1,0
Botswana,4,2,600,1,10,0
Italy,3,1,301,57,6,1
Brazil,2,3,8512,119,6,1
Spain,3,4,505,38,2,1
UAE,5,1,84,1,8,0
Netherlands-Antilles,1,4,0,0,6,1
Taiwan,5,1,36,18,7,0
Syria,5,1,185,10,8,0
Honduras,1,4,112,4,2,1
North-Yemen,5,1,195,9,8,0
San-Marino,3,1,0,0,6,1
American-Samoa,6,3,0,0,1,1
Parguay,2,3,407,3,2,1
Guyana,2,4,215,1,1,0
Monaco,3,1,0,0,3,1
French-Polynesia,6,3,4,0,3,1
Iran,5,1,1648,39,6,0
Malta,3,1,0,0,10,1
Bermuda,1,4,0,0,1,1
Micronesia,6,1,1,0,10,1
Laos,5,1,236,3,10,0
Malagasy,4,2,587,9,10,1
Bangladesh,5,1,143,90,6,0
Rwanda,4,2,26,5,10,0
Oman,5,1,212,1,8,0
UK,3,4,245,56,1,1
Belize,1,4,23,0,1,1
Congo,4,2,342,2,10,0
Mexico,1,4,1973,77,2,1
Djibouti,4,1,22,0,3,0
British-Virgin-Isles,1,4,0,0,1,1
France,3,1,547,54,3,1
Hungary,3,1,93,11,9,0
Antigua-Barbuda,1,4,0,0,1,1
Gambia,4,4,10,1,1,0
Bhutan,5,1,47,1,10,0
Dominican-Republic,1,4,49,6,2,1
Finland,3,1,337,5,9,1
Benin,4,1,113,3,3,0
Hong-Kong,5,1,1,5,7,0
El-Salvador,1,4,21,5,2,1
Chad,4,1,1284,4,3,0
Surinam,2,4,63,0,6,1
Brunei,5,1,6,0,10,0
Mozambique,4,2,783,12,10,0
Belgium,3,1,31,10,6,1
Bulgaria,3,1,111,9,5,0
