a,3.75,g,c,1.085,t,g,0,1
a,5.665,g,q,2.585,f,g,3257,1
a,3,g,x,13.875,t,g,1704,1
b,1.375,p,c,9.46,t,g,100,0
b,4,p,i,5.75,t,g,0,0
a,7,g,aa,3,f,g,0,0
b,11.5,g,ff,5,f,g,8851,1
a,3,p,aa,2,f,g,0,0
b,9.625,g,e,8.665,f,g,0,1
b,1.835,g,c,4.335,f,g,200,1
a,2.54,p,aa,0.25,t,g,0,1
b,0.25,g,i,0,t,g,0,1
a,0.585,p,aa,0.585,t,g,0,0
b,0.54,g,w,0.165,f,g,444,0
b,4.46,g,cc,6.04,f,g,300,1
b,4.25,g,c,6.5,f,g,1210,1
b,0.875,g,m,0.96,t,g,0,1
a,1.625,g,d,0.54,t,g,0,0
b,15,g,r,5.375,t,g,134,1
a,0,p,j,0,f,g,0,0
b,1,g,x,0.75,t,g,4071,1
a,10.665,g,q,0.085,t,g,3,0
b,2,g,m,1.75,t,g,15,1
b,2.25,g,i,0.125,f,g,10,0
b,2.04,p,ff,1.5,f,g,1,0
b,3.375,g,c,8.29,t,g,0,0
a,3,g,aa,0.04,f,g,0,1
a,8.5,g,c,0.165,f,g,351,0
b,1.04,p,i,0.5,t,g,28,0
a,6,g,ff,0,f,s,0,0
b,9.585,g,aa,0.79,f,g,350,0
b,14.5,g,d,0.125,f,g,286,0
b,2.75,g,w,1.75,t,g,58,1
b,0.54,g,c,0.585,t,g,0,0
b,0.58,g,w,0.29,f,g,2803,0
b,0.415,p,c,0.04,f,g,6,0
b,1.5,p,w,0.04,f,s,0,0
a,7.625,g,q,0.125,t,g,160,0
b,4.25,g,m,0.125,t,g,0,1
b,1.665,g,cc,5.085,f,g,827,1
b,2,g,k,4.165,t,g,0,1
b,7.5,g,e,1.585,t,s,0,0
b,13,g,d,0.5,f,g,0,0
b,2.46,g,c,0.96,t,g,587,0
b,2.835,g,ff,0,f,g,146,0
b,0.5,g,c,0.125,f,g,0,0
a,10.5,g,q,5,t,g,0,1
b,1.75,p,c,0.25,t,g,400,0
b,0.665,g,c,0.165,f,g,0,1
b,4.25,g,q,3.5,f,g,50,0
b,12.335,g,q,1.585,t,g,0,1
b,2,g,i,1.5,f,g,300,1
a,1.04,g,c,2.5,t,g,1430,1
b,3.5,g,aa,3.5,f,s,0,1
a,4.46,g,q,3.04,f,g,560,1
b,5,g,cc,3.5,t,g,0,1
b,15.5,g,c,0.5,f,g,0,0
b,3.25,p,q,5.085,t,g,1,0
a,1.75,p,c,0.165,f,g,0,0
b,2.5,g,k,4.5,f,g,1270,1
b,10.29,g,ff,0.415,f,g,0,0
a,1.75,p,k,1.25,t,g,0,0
b,3.5,g,k,0.5,t,g,0,0
b,2,g,x,1,f,g,7544,1
a,0.665,g,w,1.665,f,g,5,0
b,2.085,g,c,0.085,f,g,0,0
a,0.5,p,e,1,f,g,0,0
a,11.75,g,x,0.5,t,g,551,1
a,2.085,g,c,2.75,t,g,1,0
b,11,p,d,1.5,f,s,0,0
a,4.415,g,c,0.125,f,g,0,0
a,3,g,m,2.79,t,g,10,0
a,0.79,g,i,0.085,f,g,0,0
b,9.79,g,x,7.96,f,g,0,1
a,4.625,g,q,1.625,f,g,0,1
b,5.04,p,c,1.5,t,g,7,1
b,26.335,p,ff,0,t,g,0,0
b,10.085,p,e,1.25,f,g,0,0
b,9.415,g,ff,14.415,t,g,300,1
a,6.165,g,aa,0.165,f,g,1000,0
b,1.5,g,c,1.415,f,g,200,1
b,4,g,m,2.5,t,g,0,1
b,7.625,g,w,15.5,f,g,790,1
b,12.625,g,c,0.125,f,g,5552,0
b,0.125,p,k,0.085,f,g,2100,0
a,11.25,p,x,0.75,f,g,321,1
b,2.75,g,aa,0.665,f,g,21,0
b,8.17,g,aa,1.96,f,g,158,1
b,0.585,g,ff,0,f,g,0,0
b,0.42,g,c,0.21,f,g,948,1
b,2,g,d,0.75,t,g,0,0
b,0.54,p,aa,0.5,f,g,1000,1
b,19,g,ff,0,f,g,0,0
b,0.25,g,q,0.125,f,g,0,0
b,9.5,g,m,6.5,f,g,4607,1
b,4.79,p,w,2.25,t,g,300,1
b,13.335,p,aa,0.04,t,g,475,0
b,0.165,g,q,0.21,f,g,40,1
a,3.5,g,w,0.835,f,s,0,1
b,10.125,g,x,2.5,f,g,196,1
b,2.5,g,m,2.5,t,g,2510,1
b,1.5,g,cc,5.5,t,g,0,1
b,7,g,q,11.5,t,g,5,0
a,0.5,g,c,0.875,t,g,0,1
a,15,p,e,0,f,g,13212,1
a,2.875,g,q,0.085,f,g,0,0
b,0.585,g,ff,0,f,g,769,0
b,0.29,g,c,15,f,g,15000,1
a,6.665,g,q,7.375,t,g,0,1
b,5,g,i,2.25,t,g,0,0
a,10,g,q,4,f,g,1602,1
a,1.04,g,aa,0.665,f,g,237,0
b,13.915,g,w,8.625,t,g,0,1
b,1.54,g,i,3.5,f,g,0,1
a,4.71,g,ff,0,f,g,0,0
b,2.5,g,ff,0.085,t,g,4208,0
a,0.75,g,q,2.75,f,g,892,1
b,7.5,g,aa,1.415,f,g,9800,1
b,9.17,g,c,4.5,t,g,221,1
b,0.875,g,k,0.375,t,g,3,0
a,13.665,g,q,1.5,f,g,1,0
b,0.75,g,c,0.25,f,g,23,1
a,1.25,g,c,0,f,g,0,0
b,22.29,g,e,12.75,t,g,109,1
b,4,g,c,5,t,s,0,0
a,5,p,ff,0,f,g,0,0
b,0,g,c,15,f,g,0,1
a,12.5,g,aa,1.5,t,g,567,1
b,18.5,g,d,15,t,g,0,1
b,5,g,x,7.5,t,g,1000,1
