0.51,0.49,0.48,0
0.67,0.81,0.48,1
0.43,0.32,0.48,0
0.46,0.61,0.48,1
0.54,0.47,0.48,0
0.21,0.51,0.48,0
0.69,0.39,0.48,1
0.36,0.45,0.48,1
0.27,0.30,0.48,0
0.69,0.59,0.48,1
0.64,0.57,0.48,1
0.48,0.42,0.48,0
0.67,0.81,0.48,1
0.56,0.54,0.48,1
0.74,0.49,0.48,1
0.31,0.23,0.48,0
0.52,0.44,0.48,0
0.47,0.59,0.48,1
0.49,0.42,0.48,1
0.28,0.33,0.48,0
0.58,0.55,0.48,1
0.41,0.43,0.48,0
0.41,0.51,0.48,1
0.00,0.38,0.48,0
0.76,0.41,0.48,1
0.77,0.57,0.48,1
0.54,0.49,0.48,1
0.70,0.61,0.48,1
0.29,0.28,0.48,0
0.63,0.69,0.48,1
0.34,0.46,0.48,0
0.34,0.67,0.48,1
0.85,0.53,0.48,1
0.18,0.30,0.48,0
0.20,0.46,0.48,1
0.52,0.39,0.48,1
0.34,0.51,0.48,0
0.59,0.56,0.48,1
0.60,0.61,0.48,1
0.41,0.51,0.48,0
0.50,0.66,0.48,1
0.21,0.34,0.48,0
0.67,0.70,0.48,1
0.62,0.42,0.48,1
0.44,0.52,0.48,1
0.75,0.55,1.00,1
0.38,0.46,0.48,0
0.43,0.40,0.48,0
0.44,0.34,0.48,0
0.70,0.46,0.48,1
0.68,0.78,0.48,1
0.77,0.57,1.00,1
0.24,0.43,0.48,0
0.37,0.44,0.48,0
0.63,0.83,0.48,1
0.49,0.43,0.48,0
0.45,0.40,0.48,1
0.84,0.44,0.48,1
0.86,0.55,0.48,1
0.86,0.39,0.48,1
0.47,0.46,0.48,1
0.75,0.37,0.48,1
0.75,0.76,0.48,1
0.63,0.49,0.48,1
0.44,0.27,0.48,0
0.24,0.43,0.48,0
0.42,0.35,0.48,0
